targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,theta_asp
3200 Phaethon (1983 TB),2012-May-04 07:24:50.499,2456051.808917813,14.6,0.15,,,33.77843,14.15076,33.94486,14.20672,-312.22,102.546,,,,,-27087.9,-6848.65,256.922,,999,,16.0,4.0,22.638,0.0073,28059.69,*,0.009473,,,,,74.86,0.0,,,273.0352,3.1541,0.163361334187,37.2733334,0.90971172725838,50.0517525,7.565842,100.8116,78.31485,7.7944,/L,123.1722,161.4,94.8,49.0503,254.831,96.072,15.75535,Ari,66.185434,36.4627603,0.5656714,,,151.694838,-44.001239,,0.0,0.058,0.007,0.058,0.002,-6.218,0.0,0.058,24.3949,5.51e-05,1.14,4.14,0.000163,46.2414,,123.1778,334.7328,3.9022,116.2041345622581
3200 Phaethon (1983 TB),2012-May-04 07:39:14.499,2456051.818917809,14.6,0.15,,,33.757,14.15758,33.92343,14.21356,-311.189,102.6794,,,,,-27194.9,-6834.37,257.008,,999,,16.0,4.0,22.782,0.0073,28160.27,*,0.00947,,,,,74.94,0.0,,,273.2112,3.2251,0.163576910157,37.3911502,0.91000110283694,50.1743416,7.568248,100.7406,78.2759,7.8223,/L,122.9751,161.5,94.9,49.2195,254.908,96.103,15.74757,Ari,66.185434,36.4454043,0.5789844,,,151.664726,-44.004289,,0.0,0.058,0.007,0.058,0.002,-6.25,0.0,0.058,24.4566,5.47e-05,1.13,4.11,0.000163,46.4308,,122.9806,334.8153,3.9783,116.23847481469716
3200 Phaethon (1983 TB),2012-May-04 10:03:14.499,2456051.918917809,14.6,0.15,,,33.54653,14.22631,33.71296,14.28243,-300.909,103.9396,,,,,-28251.9,-6689.8,257.832,,999,,15.0,3.0,24.222,0.0072,29155.42,*,0.009439,,,,,75.68,0.0,,,274.9463,3.9233,0.165769291653,38.5302088,0.91293273833491,51.3485646,7.59263,100.0261,77.8818,8.0987,/L,121.0292,163.2,95.4,50.8888,255.645,96.411,15.66939,Ari,66.185432,36.2756238,0.7113946,,,151.36785,-44.032169,,0.0,0.057,0.007,0.057,0.002,-6.572,0.0,0.057,25.0499,5.05e-05,1.05,3.82,0.000167,48.298,,121.0348,335.6323,4.7029,116.56021284819633
3200 Phaethon (1983 TB),2012-May-04 12:27:14.499,2456052.018917809,14.6,0.15,,,33.34305,14.29584,33.50948,14.35209,-290.716,105.0712,,,,,-29284.4,-6542.2,258.6,,999,,15.31,3.44,25.656,0.007,30130.81,*,0.009408,,,,,76.36,0.0,,,276.6382,4.5995,0.168025422586,39.5998073,0.91592951177799,52.4315005,7.617553,99.3051,77.48038,8.3697,/L,119.1304,164.9,95.9,52.5164,256.328,96.717,15.59056,Ari,66.185431,36.1126565,0.8424404,,,151.078739,-44.055407,,0.0,0.055,0.007,0.056,0.002,-6.892,0.0,0.056,25.6006,4.65e-05,0.97,3.54,0.000171,50.1157,,119.136,336.4341,5.3675,116.84505102217852
3200 Phaethon (1983 TB),2012-May-04 14:51:14.499,2456052.118917808,14.6,0.15,,,33.14647,14.36608,33.31291,14.42247,-280.637,106.0802,,,,,-30292.8,-6391.87,259.318,,999,,15.22,3.4,27.079,0.0068,31086.2,*,0.009377,,,,,76.99,0.0,,,278.2878,5.2537,0.170341363345,40.6024354,0.91898626506754,53.4270821,7.642976,98.5796,77.07298,8.6351,/L,117.2791,166.6,96.4,54.1022,256.96,97.021,15.51117,Ari,66.185429,35.9564045,0.9720487,,,150.797444,-44.074184,,0.0,0.054,0.007,0.054,0.002,-7.21,0.0,0.054,26.1106,4.27e-05,0.9,3.28,0.000174,51.8846,,117.2846,337.2202,5.9786,117.09488257162681
3200 Phaethon (1983 TB),2012-May-04 17:15:14.499,2456052.218917808,14.6,0.15,,,32.95672,14.43697,33.12318,14.49348,-270.695,106.9728,,,,,-31277.4,-6239.1,259.99,,999,,15.13,3.36,28.49,0.0067,32021.44,*,0.009346,,,,,77.58,0.0,,,279.8959,5.886,0.172713322211,41.5407146,0.92209807123654,54.3393672,7.668856,97.85137,76.66087,8.8948,/L,115.4752,168.2,96.8,55.6461,257.549,97.323,15.43131,Ari,66.185428,35.8067554,1.100157,,,150.52398,-44.08868,,0.0,0.053,0.007,0.053,0.002,-7.527,0.0,0.053,26.5817,3.9e-05,0.83,3.02,0.000177,53.6055,,115.4807,337.9903,6.542,117.31157227716153
3200 Phaethon (1983 TB),2012-May-04 19:39:14.499,2456052.318917809,14.6,0.15,,,32.77371,14.50842,32.94017,14.56505,-260.912,107.7554,,,,,-32238.6,-6084.16,260.622,,999,,15.05,3.32,29.883,0.0065,32936.52,*,0.009314,,,,,78.13,0.0,,,281.4634,6.4966,0.175137661576,42.4173536,0.92526023979158,55.1724786,7.695155,97.12204,76.24518,9.149,/L,113.7185,169.9,97.2,57.1484,258.099,97.623,15.35107,Ari,66.185426,35.6635841,1.2267125,,,150.258339,-44.099078,,0.0,0.051,0.007,0.052,0.002,-7.843,0.0,0.052,27.0157,3.56e-05,0.77,2.78,0.00018,55.2792,,113.7241,338.7441,7.0627,117.49702746703431
3200 Phaethon (1983 TB),2012-May-04 22:03:14.499,2456052.418917809,14.6,0.15,,,32.59731,14.58036,32.76378,14.6371,-251.305,108.4343,,,,,-33176.6,-5927.31,261.217,,999,,14.98,3.29,31.258,0.0064,33831.51,*,0.009281,,,,,78.65,0.0,,,282.9914,7.0857,0.17761090186,43.2351094,0.92846831898499,55.930553,7.721836,96.39305,75.82696,9.3976,/L,112.0086,171.6,97.6,58.6095,258.613,97.921,15.27055,Ari,66.185425,35.5267557,1.3516717,,,150.000484,-44.105557,,0.0,0.05,0.007,0.05,0.002,-8.157,0.0,0.05,27.4145,3.23e-05,0.7,2.55,0.000183,56.9068,,112.0141,339.4815,7.5449,117.65329714874653
3200 Phaethon (1983 TB),2012-May-05 00:27:14.499,2456052.518917809,14.6,0.15,,,32.42741,14.65272,32.59389,14.70957,-241.888,109.0156,,,,,-34092.0,-5768.79,261.779,,999,,14.91,3.27,32.612,0.0062,34706.57,*,0.009249,,,,,79.13,0.0,,,284.4807,7.6536,0.18012972332,43.9967547,0.93171809529154,56.6176971,7.748863,95.66573,75.40716,9.6407,/L,110.3449,173.2,98.0,60.03,259.096,98.217,15.18981,Ari,66.185423,35.3961266,1.4749993,,,149.750358,-44.108295,,0.0,0.049,0.008,0.049,0.002,-8.469,0.0,0.049,27.7799,2.92e-05,0.64,2.34,0.000185,58.4892,,110.3504,340.2024,7.9925,117.78223376873869
3200 Phaethon (1983 TB),2012-May-05 02:51:14.499,2456052.618917808,14.6,0.15,,,32.26387,14.72545,32.43037,14.7824,-232.672,109.5054,,,,,-34985.2,-5608.82,262.312,,999,,14.86,3.24,33.943,0.0061,35561.92,*,0.009216,,,,,79.58,0.0,,,285.9324,8.2009,0.182690966087,44.7050497,0.93500559061439,57.2379529,7.776204,94.94126,74.98663,9.8783,/L,108.7266,174.9,98.3,61.4105,259.55,98.511,15.10892,Ari,66.185422,35.2715472,1.5966679,,,149.507884,-44.107467,,0.0,0.047,0.008,0.048,0.002,-8.779,0.0,0.048,28.1139,2.64e-05,0.59,2.13,0.000188,60.0277,,108.7321,340.907,8.4087,117.88555644272716
